WeatherPy_Database_csv,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
60,Cavalcante,BR,-13.7975,-47.4583,79.88,69,69,2.64,broken clouds
61,Rio Bueno,CL,-40.3167,-72.9667,70.45,43,5,6.35,clear sky
62,Alihe,CN,50.5667,123.7167,9.88,69,91,6.96,overcast clouds
63,Hermanus,ZA,-34.4187,19.2345,74.89,63,64,18.52,broken clouds
64,Biak,ID,-0.9131,122.8766,77.23,82,28,2.04,scattered clouds
65,Qui Nhon,VN,13.7667,109.2333,76.71,89,74,16.2,broken clouds
66,Bani Walid,LY,31.7566,13.9942,75.87,33,70,5.57,broken clouds
67,Peniche,PT,39.3558,-9.3811,62.29,63,21,13.15,few clouds
68,Te Anau,NZ,-45.4167,167.7167,43.21,96,26,1.14,scattered clouds
69,Albany,US,42.6001,-73.9662,32.81,66,3,1.01,clear sky
70,Setubal,PT,38.5244,-8.8882,62.51,45,6,12.95,clear sky
71,Shingu,JP,33.7333,135.9833,48.18,72,27,10.02,scattered clouds
72,Hasaki,JP,35.7333,140.8333,43.2,54,2,8.88,clear sky
73,Dilla,ET,6.41,38.31,70.25,44,91,1.57,overcast clouds
74,Busselton,AU,-33.65,115.3333,59.09,77,0,11.12,clear sky
75,Sorland,NO,67.667,12.6934,39.06,93,75,19.57,light intensity shower rain
76,Sampit,ID,-2.5333,112.95,75.79,96,100,2.73,overcast clouds
77,Khatanga,RU,71.9667,102.5,0.27,79,100,18.3,overcast clouds
78,Ayan,RU,56.45,138.1667,25.86,88,100,39.46,light snow
79,Provideniya,RU,64.3833,-173.3,9.45,66,6,11.25,clear sky
80,Olafsvik,IS,64.8945,-23.7142,36.57,83,100,12.26,overcast clouds
81,Cabo San Lucas,MX,22.8909,-109.9124,76.51,61,19,6.91,few clouds
82,Inyonga,TZ,-6.7167,32.0667,86.83,31,62,3.74,broken clouds
83,Saskylakh,RU,71.9167,114.0833,-26.5,97,9,10.56,clear sky
84,Mackenzie,CA,55.2999,-123.1698,25.02,86,75,2.3,broken clouds
85,Batticaloa,LK,7.7102,81.6924,79.03,87,100,6.2,overcast clouds
86,Yantzaza,EC,-3.8278,-78.7594,77.67,79,100,2.46,light rain
87,Nhulunbuy,AU,-12.2333,136.7667,81.21,78,20,5.75,few clouds
88,Birin,NP,26.8865,88.0718,51.01,86,42,2.84,scattered clouds
89,Fortuna,US,40.5982,-124.1573,48.33,95,90,0.0,overcast clouds
90,San Patricio,US,28.017,-97.5169,64.81,55,64,5.41,broken clouds
91,Tuatapere,NZ,-46.1333,167.6833,48.45,92,80,2.64,broken clouds
92,Bokino,RU,52.6374,41.4597,23.25,71,92,4.29,overcast clouds
93,Cape Town,ZA,-33.9258,18.4232,76.12,49,20,29.93,few clouds
94,Auki,SB,-8.7676,160.7034,76.98,87,86,5.1,overcast clouds
95,Oranjemund,NA,-28.55,16.4333,67.03,69,65,20.74,broken clouds
96,Guerrero Negro,MX,27.9769,-114.0611,65.48,65,79,1.36,broken clouds
