City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
215,Alekseyevsk,RU,2021-11-20 01:54:58,57.8406,108.3492,-4.2,100,99,2.98
216,Buala,SB,2021-11-20 01:54:58,-8.145,159.5921,85.8,62,100,2.21
217,Krasnoselkup,RU,2021-11-20 01:54:58,65.7,82.4667,-15.54,96,18,10.8
218,Arman,RU,2021-11-20 01:54:59,59.7,150.1667,21.02,80,77,9.08
219,Sobolevo,RU,2021-11-20 01:54:59,54.4299,31.8996,45.7,89,100,22.08
220,Berlevag,NO,2021-11-20 01:54:59,70.8578,29.0864,35.53,97,100,23.33
221,Black River,JM,2021-11-20 01:55:00,18.0264,-77.8487,80.6,80,89,4.63
222,Valparaiso,CL,2021-11-20 01:52:13,-33.0393,-71.6273,56.84,82,90,5.75
223,Zeya,RU,2021-11-20 01:55:00,53.75,127.2667,14.77,50,15,2.68
224,Oktyabrskoye,RU,2021-11-20 01:55:01,43.0645,44.7417,26.74,93,15,4.47
225,Castro,BR,2021-11-20 01:52:39,-24.7911,-50.0119,59.61,92,90,9.8
226,Sidney,AU,2021-11-20 01:55:14,-33.8679,151.2073,73.76,82,100,1.99
227,Axim,GH,2021-11-20 01:56:01,4.8699,-2.2405,78.55,89,69,7.18
228,Nichinan,JP,2021-11-20 01:56:02,31.6,131.3667,62.28,51,0,7.83
229,Kahului,US,2021-11-20 01:51:12,20.8947,-156.47,87.82,66,1,18.41
230,Jacareacanga,BR,2021-11-20 01:56:02,-6.2222,-57.7528,73.71,95,100,2.39
231,Saskylakh,RU,2021-11-20 01:56:02,71.9167,114.0833,-21.19,97,45,7.36
232,Salta,AR,2021-11-20 01:56:03,-24.7859,-65.4117,72.19,58,90,4.0
233,Zabaykalsk,RU,2021-11-20 01:56:03,49.6333,117.3167,19.85,80,97,3.18
234,La Romana,DO,2021-11-20 01:56:03,18.4273,-68.9728,78.53,88,20,0.0
235,Duvan,RU,2021-11-20 01:56:04,55.695,57.9024,27.27,94,100,15.48
236,Henties Bay,NA,2021-11-20 01:56:04,-22.116,14.2845,57.85,89,85,6.44
237,Nisia Floresta,BR,2021-11-20 01:56:05,-6.0911,-35.2086,80.98,76,51,9.8
238,Bere,TD,2021-11-20 01:56:05,9.3202,16.1552,75.92,31,8,3.11
239,Pathein,MM,2021-11-20 01:56:05,16.7833,94.7333,81.64,78,85,3.78
240,Zhezkazgan,KZ,2021-11-20 01:56:06,47.8043,67.7144,10.69,90,66,8.93
241,Cabo San Lucas,MX,2021-11-20 01:56:06,22.8909,-109.9124,75.06,71,1,3.0
242,Kisangani,CD,2021-11-20 01:56:06,0.5167,25.2,69.69,98,99,0.89
243,Santa Flavia,IT,2021-11-20 01:56:07,38.085,13.5351,59.38,81,3,1.01
244,Saint-Paul,RE,2021-11-20 01:56:07,-21.0096,55.2707,73.51,76,3,3.0
245,Cherskiy,RU,2021-11-20 01:56:07,68.75,161.3,-15.11,96,5,4.05
246,Tazovskiy,RU,2021-11-20 01:56:08,67.4667,78.7,-14.24,99,94,9.62
247,Lasa,IT,2021-11-20 01:56:08,46.6166,10.7002,29.14,56,11,4.45
248,Weston,US,2021-11-20 01:53:25,26.1004,-80.3998,75.97,91,90,1.01
249,Lumeje,AO,2021-11-20 01:56:09,-11.55,20.7833,64.83,89,100,0.69
250,Forbes,AU,2021-11-20 01:56:09,-33.3833,148.0167,72.91,65,100,13.22
251,Taunggyi,MM,2021-11-20 01:56:09,20.7833,97.0333,63.63,67,94,2.21
252,Dutse,NG,2021-11-20 01:56:10,11.7594,9.3392,72.88,19,12,7.65
253,Miles City,US,2021-11-20 01:56:10,46.4083,-105.8406,42.51,41,100,5.55
254,Mpika,ZM,2021-11-20 01:56:10,-11.8343,31.4529,65.62,63,85,0.43
255,Tandil,AR,2021-11-20 01:56:11,-37.3217,-59.1332,49.28,76,0,7.02
256,Severo-Yeniseyskiy,RU,2021-11-20 01:56:11,60.3725,93.0408,-4.72,95,100,4.88
257,Antofagasta,CL,2021-11-20 01:51:14,-23.65,-70.4,60.08,75,7,5.08
258,Shelburne,CA,2021-11-20 01:56:11,44.0787,-80.2041,33.69,95,31,5.41
259,Oranjemund,NA,2021-11-20 01:56:12,-28.55,16.4333,57.94,92,47,13.47
260,Tocache,PE,2021-11-20 01:56:12,-8.1842,-76.5125,70.09,98,100,0.18
261,Honiara,SB,2021-11-20 01:56:12,-9.4333,159.95,85.55,69,100,5.41
262,Portland,US,2021-11-20 01:52:32,45.5234,-122.6762,48.78,87,20,0.0
263,Telimele,GN,2021-11-20 01:56:13,10.9167,-13.3333,70.79,72,0,1.01
264,Troitskoye,RU,2021-11-20 01:56:13,52.9821,84.6757,11.3,68,100,14.16
265,Lima,PE,2021-11-20 01:56:14,-12.0432,-77.0282,64.9,81,75,12.66
266,Winona,US,2021-11-20 01:56:14,43.9666,-91.7668,34.56,63,1,5.75
267,Pevek,RU,2021-11-20 01:52:35,69.7008,170.3133,-6.18,87,75,4.25
268,Sulangan,PH,2021-11-20 01:56:14,11.1373,123.7228,82.81,72,73,2.19
269,Gorele,TR,2021-11-20 01:56:15,41.0308,39.0031,51.24,94,100,4.03
270,San Patricio,US,2021-11-20 01:57:15,28.017,-97.5169,64.83,63,0,7.43
271,Naples,IT,2021-11-20 01:52:36,40.8333,14.25,60.6,59,15,5.99
